competitor,route_start,route_dest,from_alternateId,to_alternateId,CODE,pax_1,pax_2,pax_3,pax_4,pax_5,pax_6,pax_7,pax_8,pax_9,pax_10,pax_11,pax_12,pax_13,pax_14,pax_15,pax_16,Retry
Sun,Menorca Airport,Es Castell,10578,10349,MAH,,,,,,,,,,,,,,,,,
Sun,Menorca Airport,Es Mercadal,10578,10350,MAH,,,,,,,,,,,,,,,,,
Sun,Menorca Airport,Es Migjorn Gran,10578,10351,MAH,,,,,,,,,,,,,,,,,
Sun,Menorca Airport,Fornells (Menorca),10578,10352,MAH,,,,,,,,,,,,,,,,,
Sun,Menorca Airport,Los Delfines,10578,10610,MAH,,,,,,,,,,,,,,,,,
Sun,Menorca Airport,Mahon,10578,10354,MAH,,,,,,,,,,,,,,,,,
Sun,Menorca Airport,Punta Prima (Menorca),10578,10355,MAH,,,,,,,,,,,,,,,,,
Sun,Menorca Airport,S'algar,10578,10356,MAH,,,,,,,,,,,,,,,,,
Sun,Menorca Airport,Sa Caleta,10578,10607,MAH,,,,,,,,,,,,,,,,,
Sun,Menorca Airport,San Jaime Mediterráneo,10578,30875,MAH,,,,,,,,,,,,,,,,,
Sun,Menorca Airport,Sant Lluís,10578,10357,MAH,,,,,,,,,,,,,,,,,
Sun,Menorca Airport,Santo Tomás,10578,10358,MAH,,,,,,,,,,,,,,,,,
Sun,Menorca Airport,Son Bou,10578,10359,MAH,,,,,,,,,,,,,,,,,
Sun,Menorca Airport,Son Parc,10578,10360,MAH,,,,,,,,,,,,,,,,,
Sun,Menorca Airport,Son Xoriguer,10578,10361,MAH,,,,,,,,,,,,,,,,,
Sun,Metz-Nancy Airport (ETZ),Colmar,24154,22447,ETZ,,,,,,,,,,,,,,,,,
Sun,Metz-Nancy Airport (ETZ),Metz,24154,22451,ETZ,,,,,,,,,,,,,,,,,
Sun,Metz-Nancy Airport (ETZ),Mulhouse,24154,22452,ETZ,,,,,,,,,,,,,,,,,
Sun,Metz-Nancy Airport (ETZ),Nancy,24154,22453,ETZ,,,,,,,,,,,,,,,,,
Sun,Metz-Nancy Airport (ETZ),Paris,24154,21879,ETZ,,,,,,,,,,,,,,,,,
Sun,Metz-Nancy Airport (ETZ),Saarbrücken,24154,22454,ETZ,,,,,,,,,,,,,,,,,
Sun,Mexico City Airport,Acapulco,26495,26547,MEX,,,,,,,,,,,,,,,,,
Sun,Mexico City Airport,Agostitlán,26495,35696,MEX,,,,,,,,,,,,,,,,,
Sun,Mexico City Airport,Irapuato,26495,32363,MEX,,,,,,,,,,,,,,,,,
Sun,Mexico City Airport,La Paz,26495,22349,MEX,,,,,,,,,,,,,,,,,
Sun,Mexico City Airport,Magdalena De Las Salinas (Mexico City),26495,36592,MEX,,,,,,,,,,,,,,,,,
Sun,Mexico City Airport,Mexico City Centre,26495,26546,MEX,,,,,,,,,,,,,,,,,
Sun,Mexico City Airport,Naucalpan,26495,35031,MEX,,,,,,,,,,,,,,,,,
Sun,Mexico City Airport,Puerto Vallarta,26495,29761,MEX,,,,,,,,,,,,,,,,,
Sun,Mexico City Airport,San Jose Vista Hermosa,26495,29684,MEX,,,,,,,,,,,,,,,,,
Sun,Mexico City Airport,Taxco,26495,26548,MEX,,,,,,,,,,,,,,,,,
Sun,Mexico City Airport,Tequisquiapan,26495,38094,MEX,,,,,,,,,,,,,,,,,
Sun,Mexico City Airport,Tlaxcala,26495,37748,MEX,,,,,,,,,,,,,,,,,
Sun,Mexico City Airport,Valle De Bravo,26495,28959,MEX,,,,,,,,,,,,,,,,,
Sun,Mexico City Airport,Xalapa City,26495,28860,MEX,,,,,,,,,,,,,,,,,
Sun,Miami Cruise Port,Orlando International Airport,40696,27860,NULL,,,,,,,,,,,,,,,,,
Sun,Miami Cruise Port,Palm Beach Airport,40696,31774,NULL,,,,,,,,,,,,,,,,,
Sun,Miami International Airport,Clermont (Florida),26845,29681,MIA,,,,,,,,,,,,,,,,,
Sun,Miami International Airport,Cocoa Beach,26845,28898,MIA,,,,,,,,,,,,,,,,,
Sun,Miami International Airport,Daytona,26845,28900,MIA,,,,,,,,,,,,,,,,,
Sun,Miami International Airport,Kissimmee,26845,27854,MIA,,,,,,,,,,,,,,,,,
Sun,Miami International Airport,Lauderdale-By-The-Sea,26845,34097,MIA,,,,,,,,,,,,,,,,,
Sun,Miami International Airport,Leesburg,26845,36526,MIA,,,,,,,,,,,,,,,,,
Sun,Miami International Airport,Miami Lakes,26845,29798,MIA,,,,,,,,,,,,,,,,,
Sun,Miami International Airport,Miami Springs,26845,34212,MIA,,,,,,,,,,,,,,,,,
Sun,Miami International Airport,Orlando International Airport,26845,27860,MIA,,,,,,,,,,,,,,,,,
Sun,Miami International Airport,Palm Bay,26845,24263,MIA,,,,,,,,,,,,,,,,,
Sun,Miami International Airport,Port St. Lucie,26845,32765,MIA,,,,,,,,,,,,,,,,,
Sun,Miami International Airport,Sanibel,26845,33537,MIA,,,,,,,,,,,,,,,,,
Sun,Miami International Airport,Sarasota,26845,35252,MIA,,,,,,,,,,,,,,,,,
Sun,Miami International Airport,St. Petersburg (Florida),26845,37777,MIA,,,,,,,,,,,,,,,,,
Sun,Miami International Airport,Sunrise,26845,21879,MIA,,,,,,,,,,,,,,,,,
Sun,Miami International Airport,The Villages,26845,34347,MIA,,,,,,,,,,,,,,,,,
Sun,Miami International Airport,Titusville,26845,29888,MIA,,,,,,,,,,,,,,,,,
Sun,Miami International Airport,Venice (Florida),26845,35443,MIA,,,,,,,,,,,,,,,,,
Sun,Milan Bergamo Airport (BGY),Affi,21755,21728,BGY,,,,,,,,,,,,,,,,,
